ID,Set,Condition,Phase,Session,Response
popcorn,6,1,Pre,1,0
popcorn,6,1,Pre,2,0
popcorn,6,1,Pre,3,0
popcorn,6,1,Pre,4,0
popcorn,6,1,Pre,5,0
popcorn,6,1,Pre,6,0
popcorn,6,1,Pre,7,1
popcorn,6,1,Pre,8,0
popcorn,6,1,Pre,9,0
popcorn,6,1,Tx,10,1
popcorn,6,1,Post,11,1
popcorn,6,1,Post,12,1
popcorn,6,1,ThreeMo,13,0
popcorn,6,1,SixMo,14,0
popcorn,6,1,TwelveMo,15,0
stove,6,1,Pre,1,0
stove,6,1,Pre,2,0
stove,6,1,Pre,3,0
stove,6,1,Pre,4,0
stove,6,1,Pre,5,0
stove,6,1,Pre,6,0
stove,6,1,Pre,7,0
stove,6,1,Pre,8,0
stove,6,1,Pre,9,0
stove,6,1,Tx,10,1
stove,6,1,Post,11,1
stove,6,1,Post,12,1
stove,6,1,ThreeMo,13,1
stove,6,1,SixMo,14,1
stove,6,1,TwelveMo,15,0
trumpet,6,1,Pre,1,0
trumpet,6,1,Pre,2,0
trumpet,6,1,Pre,3,0
trumpet,6,1,Pre,4,0
trumpet,6,1,Pre,5,0
trumpet,6,1,Pre,6,0
trumpet,6,1,Pre,7,0
trumpet,6,1,Pre,8,0
trumpet,6,1,Pre,9,0
trumpet,6,1,Tx,10,1
trumpet,6,1,Post,11,1
trumpet,6,1,Post,12,1
trumpet,6,1,ThreeMo,13,1
trumpet,6,1,SixMo,14,0
trumpet,6,1,TwelveMo,15,1
lizard,7,0,Pre,1,0
lizard,7,0,Pre,2,0
lizard,7,0,Pre,3,0
lizard,7,0,Pre,4,0
lizard,7,0,Pre,5,0
lizard,7,0,Pre,6,0
lizard,7,0,Pre,7,0
lizard,7,0,Pre,8,0
lizard,7,0,Pre,9,0
lizard,7,0,Pre,10,0
lizard,7,0,Pre,11,0
lizard,7,0,Pre,12,0
lizard,7,0,ThreeMo,13,0
lizard,7,0,SixMo,14,0
lizard,7,0,TwelveMo,15,0
goose,7,0,Pre,1,0
goose,7,0,Pre,2,0
goose,7,0,Pre,3,0
goose,7,0,Pre,4,0
goose,7,0,Pre,5,0
goose,7,0,Pre,6,0
goose,7,0,Pre,7,0
goose,7,0,Pre,8,0
goose,7,0,Pre,9,0
goose,7,0,Pre,10,0
goose,7,0,Pre,11,0
goose,7,0,Pre,12,0
goose,7,0,ThreeMo,13,0
goose,7,0,SixMo,14,0
goose,7,0,TwelveMo,15,0
grasshopper,7,0,Pre,1,0
grasshopper,7,0,Pre,2,0
grasshopper,7,0,Pre,3,0
grasshopper,7,0,Pre,4,0
grasshopper,7,0,Pre,5,0
grasshopper,7,0,Pre,6,0
grasshopper,7,0,Pre,7,0
grasshopper,7,0,Pre,8,0
grasshopper,7,0,Pre,9,0
grasshopper,7,0,Pre,10,0
grasshopper,7,0,Pre,11,0
grasshopper,7,0,Pre,12,0
grasshopper,7,0,ThreeMo,13,0
grasshopper,7,0,SixMo,14,0
grasshopper,7,0,TwelveMo,15,0
bandana,7,0,Pre,1,0
bandana,7,0,Pre,2,0
bandana,7,0,Pre,3,0
bandana,7,0,Pre,4,0
bandana,7,0,Pre,5,0
bandana,7,0,Pre,6,0
bandana,7,0,Pre,7,0
bandana,7,0,Pre,8,0
bandana,7,0,Pre,9,0
bandana,7,0,Pre,10,0
bandana,7,0,Pre,11,0
bandana,7,0,Pre,12,0
bandana,7,0,ThreeMo,13,0
bandana,7,0,SixMo,14,0
bandana,7,0,TwelveMo,15,0
piano,7,0,Pre,1,0
piano,7,0,Pre,2,0
piano,7,0,Pre,3,0
piano,7,0,Pre,4,0
piano,7,0,Pre,5,1
piano,7,0,Pre,6,0
piano,7,0,Pre,7,1
piano,7,0,Pre,8,1
piano,7,0,Pre,9,1
piano,7,0,Pre,10,1
piano,7,0,Pre,11,0
piano,7,0,Pre,12,1
piano,7,0,ThreeMo,13,1
piano,7,0,SixMo,14,0
piano,7,0,TwelveMo,15,0
iPad,7,0,Pre,1,0
iPad,7,0,Pre,2,0
iPad,7,0,Pre,3,0
iPad,7,0,Pre,4,0
iPad,7,0,Pre,5,0
iPad,7,0,Pre,6,0
iPad,7,0,Pre,7,0
iPad,7,0,Pre,8,0
iPad,7,0,Pre,9,0
iPad,7,0,Pre,10,0
iPad,7,0,Pre,11,0
iPad,7,0,Pre,12,0
iPad,7,0,ThreeMo,13,0
iPad,7,0,SixMo,14,0
iPad,7,0,TwelveMo,15,0
memory card,7,0,Pre,1,0
memory card,7,0,Pre,2,0
memory card,7,0,Pre,3,0
memory card,7,0,Pre,4,0
memory card,7,0,Pre,5,0
memory card,7,0,Pre,6,0
memory card,7,0,Pre,7,0
memory card,7,0,Pre,8,0
memory card,7,0,Pre,9,0
memory card,7,0,Pre,10,0
memory card,7,0,Pre,11,0
memory card,7,0,Pre,12,0
memory card,7,0,ThreeMo,13,0
memory card,7,0,SixMo,14,0
memory card,7,0,TwelveMo,15,0
skunk,7,0,Pre,1,0
skunk,7,0,Pre,2,0
skunk,7,0,Pre,3,0
skunk,7,0,Pre,4,0
skunk,7,0,Pre,5,0
skunk,7,0,Pre,6,0
skunk,7,0,Pre,7,0
skunk,7,0,Pre,8,0
skunk,7,0,Pre,9,0
skunk,7,0,Pre,10,0
skunk,7,0,Pre,11,0
skunk,7,0,Pre,12,0
skunk,7,0,ThreeMo,13,0
skunk,7,0,SixMo,14,0
skunk,7,0,TwelveMo,15,0
pumpkin,7,0,Pre,1,0
pumpkin,7,0,Pre,2,0
pumpkin,7,0,Pre,3,0
pumpkin,7,0,Pre,4,0
pumpkin,7,0,Pre,5,0
pumpkin,7,0,Pre,6,0
pumpkin,7,0,Pre,7,0
pumpkin,7,0,Pre,8,0
pumpkin,7,0,Pre,9,0
pumpkin,7,0,Pre,10,0
pumpkin,7,0,Pre,11,0
pumpkin,7,0,Pre,12,0
pumpkin,7,0,ThreeMo,13,0
pumpkin,7,0,SixMo,14,0
pumpkin,7,0,TwelveMo,15,0
headphones,7,0,Pre,1,0
headphones,7,0,Pre,2,0
headphones,7,0,Pre,3,0
headphones,7,0,Pre,4,0
headphones,7,0,Pre,5,0
headphones,7,0,Pre,6,0
headphones,7,0,Pre,7,0
headphones,7,0,Pre,8,0
headphones,7,0,Pre,9,0
headphones,7,0,Pre,10,0
headphones,7,0,Pre,11,0
headphones,7,0,Pre,12,0
headphones,7,0,ThreeMo,13,0
headphones,7,0,SixMo,14,0
headphones,7,0,TwelveMo,15,0
